number_volume,number_issue,number_article,type
1,1,1,introduction
1,1,2,Article
1,1,3,Article
1,1,4,Article
1,1,5,Article
1,1,6,Article
1,1,7,book review
1,2,1,introduction
1,2,2,Article
1,2,3,Article
1,2,4,Article
1,2,5,Article
1,2,7,book review
1,3,1,Article
1,3,2,Article
1,3,3,Article
1,3,4,Article
1,3,5,book review
2,1,1,Article
2,1,2,editorial
2,1,3,Article
2,1,4,Article
2,1,5,Article
2,1,6,book review
2,2,1,Article
2,2,2,Article
2,2,3,Article
2,2,4,Article
2,2,5,book review
2,3,1,Article
2,3,2,Article
2,3,3,Article
2,3,4,Article
2,3,5,book review
2,4,1,Article
2,4,2,Article
2,4,3,Article
2,4,4,Article
2,4,5,Article
2,4,6,Article
2,4,7,book review
2,4,8,editorial
3,1,1,Article
3,1,3,Article
3,1,4,Article
3,1,5,Article
3,1,6,Article
3,1,7,book review
3,2,1,Article
3,2,2,Article
3,2,3,Article
3,2,4,Article
3,2,5,book review
3,3,1,Article
3,3,2,Article
3,3,3,Article
3,3,4,Article
3,3,5,book review
3,4,1,Article
3,4,2,Article
3,4,3,Article
3,4,4,Article
3,4,5,Article
3,4,6,book review
4,1,1,Article
4,1,2,Article
4,1,3,Article
4,1,4,Article
4,1,5,Article
4,1,6,book review
4,2,1,Article
4,2,2,Article
4,2,3,Article
4,2,4,Article
4,3,1,Article
4,3,2,Article
4,3,3,Article
4,4,1,Article
4,4,2,Article
4,4,3,Article
4,4,4,Article
4,4,5,book review
5,1,1,Article
5,1,2,Article
5,1,3,Article
5,2,1,Article
5,2,2,Article
5,2,3,Article
5,2,4,Article
5,2,5,book review
5,3,1,Article
5,3,2,Article
5,3,3,Article
5,3,4,Article
5,3,5,Article
5,4,1,Article
5,4,2,Article
5,4,3,Article
5,4,4,Article
5,4,5,Article
5,4,6,Article
6,1,1,Article
6,1,2,Article
6,1,3,Article
6,1,4,Article
6,1,5,Article
6,1,6,Article
6,2,1,Article
6,2,2,Article
6,2,3,Article
6,2,4,Article
6,2,5,Article
6,2,6,Article
6,2,7,Article
6,2,8,Article
6,2,9,Article
6,2,10,Article
6,3,1,editorial
6,3,7,review article
6,4,1,editorial
7,1,1,editorial
7,1,9,review article
7,2,1,editorial
7,2,8,review article
7,3,1,editorial
7,3,2,Article
7,3,3,Article
7,3,4,Article
7,3,5,Article
7,3,6,book review
7,4,1,Article
7,4,2,Article
7,4,3,Article
7,4,4,Article
7,4,5,Article
8,1,1,Article
8,1,2,Article
8,1,3,Article
8,1,4,Article
8,1,5,Article
8,1,6,Article
8,1,7,Article
8,1,8,Article
8,1,9,Article
8,2,1,editorial
8,2,2,Article
8,2,3,Article
8,2,4,Article
8,2,5,Article
8,2,6,Article
8,2,7,book review
8,3,1,editorial
8,3,2,Article
8,3,3,Article
8,3,4,Article
8,3,5,Article
8,3,6,Article
8,3,7,book review
8,4,1,editorial
8,4,2,Article
8,4,3,Article
8,4,4,Article
8,4,5,Article
8,4,6,Article
9,1,1,editorial
9,1,2,Article
9,1,3,Article
9,1,4,Article
9,1,5,Article
9,1,6,Article
9,2,1,editorial
9,2,2,Article
9,2,3,Article
9,2,4,Article
9,2,5,Article
9,2,6,Article
9,2,7,Article
9,2,8,Article
9,2,9,book review
9,3,1,editorial
9,3,2,Article
9,3,3,Article
9,3,4,Article
9,3,5,Article
9,3,6,Article
9,3,7,Article
9,3,8,Article
9,4,1,editorial
9,4,2,Article
9,4,3,Article
9,4,4,Article
9,4,5,Article
9,4,6,Article
9,4,7,Article
9,4,8,Article
9,4,9,book review
9,5,1,Article
9,5,2,Article
9,5,3,Article
9,5,4,Article
9,5,5,Article
9,5,6,Article
9,5,7,Article
10,1,1,editorial
10,1,2,Article
10,1,3,Article
10,1,4,Article
10,1,5,Article
10,1,6,Article
10,1,7,Article
10,2,1,editorial
10,2,2,editorial
10,2,3,Article
10,2,4,Article
10,2,5,Article
10,2,6,Article
10,2,7,Article
10,2,8,Article
10,2,9,Article
10,3,1,editorial
10,3,2,Article
10,3,3,Article
10,3,4,Article
10,3,5,Article
10,3,6,Article
10,3,7,Article
10,3,8,Article
10,3,9,book review
10,3,10,book review
10,3,11,book review
10,3,12,book review
10,3,13,book review
10,4,1,Article
10,4,2,Article
10,4,3,Article
10,4,4,Article
10,4,5,Article
10,4,6,Article
10,4,7,Article
10,4,8,Article
10,5,1,editorial
10,5,2,Article
10,5,3,Article
10,5,4,Article
10,5,5,Article
10,5,6,Article
10,5,7,Article
10,5,8,Article
10,5,9,book review
11,1,1,editorial
11,1,2,Article
11,1,3,Article
11,1,4,Article
11,1,5,Article
11,1,6,Article
11,1,7,Article
11,1,8,Article
11,2,1,Article
11,2,2,Article
11,2,3,Article
11,2,4,Article
11,2,5,Article
11,2,6,Article
11,2,7,book review
11,3,1,Article
11,3,2,Article
11,3,3,Article
11,3,4,Article
11,3,5,Article
11,3,6,Article
11,3,7,Article
11,3,8,Article
11,4,1,editorial
11,4,2,Article
11,4,3,Article
11,4,4,Article
11,4,5,Article
11,4,6,Article
11,4,7,Article
11,4,8,Article
11,5,1,editorial
11,5,2,Article
11,5,3,Article
11,5,4,Article
11,5,5,Article
11,5,6,Article
11,5,7,Article
12,1,1,editorial
12,1,2,Article
12,1,3,Article
12,1,4,Article
12,1,5,Article
12,1,6,Article
12,1,7,Article
12,1,8,book review
12,2,1,editorial
12,2,2,Article
12,2,3,Article
12,2,4,Article
12,2,5,Article
12,2,6,Article
12,2,7,Article
12,2,8,book review
12,2,9,book review
12,2,10,book review
12,3,1,editorial
12,3,2,Article
12,3,3,Article
12,3,4,Article
12,3,5,Article
12,3,6,Article
12,3,7,Article
12,3,8,book review
12,3,9,book review
12,4,1,editorial
12,4,2,Article
12,4,3,Article
12,4,4,Article
12,4,5,Article
12,4,6,Article
12,4,7,Article
12,4,8,book review
12,4,9,book review
12,4,10,book review
12,5,1,editorial
12,5,2,Article
12,5,3,Article
12,5,4,Article
12,5,5,Article
12,5,6,Article
12,5,7,Article
12,5,8,Article
12,5,9,book review
12,5,10,book review
13,1,1,editorial
13,1,2,Article
13,1,3,Article
13,1,4,Article
13,1,5,Article
13,1,6,Article
13,1,7,Article
13,1,8,Article
13,1,9,book review
13,2,1,editorial
13,2,2,Article
13,2,3,Article
13,2,4,Article
13,2,5,Article
13,2,6,Article
13,2,7,Article
13,2,8,Article
13,2,9,book review
13,3,1,Article
13,3,2,Article
13,3,3,Article
13,3,4,Article
13,3,5,Article
13,3,6,Article
13,3,7,Article
13,4,1,editorial
13,4,2,Article
13,4,3,Article
13,4,4,Article
13,4,5,Article
13,4,6,Article
13,4,7,book review
13,5,1,editorial
13,5,2,Article
13,5,3,Article
13,5,4,Article
13,5,5,Article
13,5,6,Article
13,5,7,Article
13,5,8,book review
13,5,9,book review
14,1,1,editorial
14,1,2,Article
14,1,3,Article
14,1,4,Article
14,1,5,Article
14,1,6,Article
14,1,15,book review
14,1,16,book review
14,2,1,correction
14,2,2,editorial
14,2,3,Article
14,2,4,Article
14,2,5,Article
14,2,6,Article
14,2,7,Article
14,2,8,Article
14,2,9,Article
14,2,14,book review
14,2,15,book review
14,2,16,book review
14,3,1,editorial
14,3,2,Article
14,3,3,Article
14,3,4,Article
14,3,5,Article
14,3,6,Article
14,3,7,Article
14,3,8,book review
14,4,1,editorial
14,4,2,Article
14,4,3,Article
14,4,4,Article
14,4,5,Article
14,4,6,Article
14,4,7,Article
14,4,8,Article
14,4,9,Article
14,5,1,editorial
14,5,2,Article
14,5,3,Article
14,5,4,Article
14,5,5,Article
14,5,6,Article
14,5,7,Article
14,5,8,book review
14,5,9,book review
14,5,10,book review
15,1,1,editorial
15,1,2,Article
15,1,3,Article
15,1,4,Article
15,1,5,Article
15,1,6,Article
15,1,7,Article
15,2,1,editorial
15,2,3,Article
15,2,4,Article
15,2,5,Article
15,2,6,Article
15,2,7,Article
15,2,8,Article
15,2,9,Article
15,2,10,Article
15,3,1,editorial
15,3,2,Article
15,3,3,Article
15,3,4,Article
15,3,5,Article
15,3,6,Article
15,3,7,Article
15,3,8,Article
15,3,9,Article
15,3,10,book review
15,3,11,book review
15,3,12,book review
15,4,1,editorial
15,4,2,Article
15,4,3,Article
15,4,4,Article
15,4,5,Article
15,4,6,Article
15,4,7,Article
15,4,8,Article
15,4,9,Article
15,5,1,editorial
15,5,2,Article
15,5,3,Article
15,5,4,Article
15,5,5,Article
15,5,6,Article
15,5,7,Article
15,5,8,book review
15,5,9,book review
16,1,1,editorial
16,1,2,Article
16,1,3,Article
16,1,4,Article
16,1,5,Article
16,1,6,Article
16,1,7,Article
16,1,8,Article
16,1,9,book review
16,1,10,book review
16,1,11,book review
16,2,1,editorial
16,2,2,Article
16,2,3,Article
16,2,4,Article
16,2,5,Article
16,2,6,Article
16,2,7,Article
16,2,8,Article
16,2,9,Article
16,2,10,book review
16,2,11,book review
16,3,1,editorial
16,3,2,review article
16,3,3,review article
16,3,4,review article
16,3,5,review article
16,3,6,review article
16,3,7,Article
16,3,8,Article
16,3,9,Article
16,3,10,Article
16,3,11,Article
16,3,12,book review
16,3,13,book review
16,4,1,editorial
16,4,2,Article
16,4,3,Article
16,4,4,Article
16,4,5,Article
16,4,6,Article
16,4,7,Article
16,4,8,Article
16,4,9,book review
16,5,1,editorial
16,5,2,Article
16,5,3,Article
16,5,4,Article
16,5,5,Article
16,5,6,Article
16,5,7,Article
16,5,8,correction
16,5,9,correction
17,1,1,editorial
17,1,2,Article
17,1,3,Article
17,1,4,Article
17,1,5,Article
17,1,6,Article
17,1,7,book review
17,1,8,book review
17,1,9,book review
17,1,10,book review
17,1,11,book review
17,2,1,editorial
17,2,2,Article
17,2,3,Article
17,2,4,Article
17,2,5,Article
17,2,6,Article
17,2,7,Article
17,3,1,editorial
17,3,3,Article
17,3,4,Article
17,3,5,Article
17,3,6,Article
17,3,7,book review
17,3,8,book review
17,4,1,editorial
17,4,2,Article
17,4,3,Article
17,4,4,Article
17,4,5,Article
17,4,6,Article
17,4,7,Article
17,4,8,Article
17,4,9,Article
17,4,10,Article
17,4,11,book review
17,5,1,editorial
17,5,2,Article
17,5,3,Article
17,5,4,Article
17,5,5,Article
17,5,6,Article
17,5,7,book review
18,1,1,editorial
18,1,2,Article
18,1,3,Article
18,1,4,Article
18,1,5,Article
18,1,6,Article
18,1,7,book review
18,2,1,Article
18,2,2,Article
18,2,3,Article
18,2,4,Article
18,3,1,Article
18,3,2,Article
18,3,3,Article
18,3,4,Article
18,3,5,book review
18,4,1,editorial
18,4,2,Article
18,4,3,Article
18,4,4,Article
18,4,5,Article
18,4,6,Article
18,5,1,Article
18,5,2,Article
18,5,3,Article
18,5,4,Article
18,5,5,Article
18,5,6,Article
18,5,7,book review
18,5,8,book review
19,1,1,Article
19,1,2,Article
19,1,3,Article
19,1,4,Article
19,1,5,Article
19,1,6,book review
19,1,7,book review
19,2,1,editorial
19,2,2,introduction
19,2,3,Article
19,2,4,Article
19,2,5,Article
19,2,6,Article
19,3,1,Article
19,3,2,Article
19,3,3,Article
19,3,4,Article
19,3,5,Article
19,3,6,book review
19,3,7,book review
19,4,1,editorial
19,4,2,Article
19,4,3,Article
19,4,4,Article
19,4,5,Article
19,4,6,Article
19,4,7,Article
19,4,8,Article
19,5,1,editorial
19,5,2,introduction
19,5,3,Article
19,5,4,Article
19,5,5,Article
19,5,6,Article
19,5,7,Article
19,5,8,Article
20,1,1,Article
20,1,2,Article
20,1,3,Article
20,1,4,Article
20,1,5,Article
20,1,6,Article
20,2,1,Article
20,2,2,Article
20,2,3,Article
20,2,4,Article
20,2,5,Article
20,2,6,Article
20,2,7,Article
20,2,8,Article
20,3,1,editorial
20,3,2,introduction
20,3,3,Article
20,3,4,Article
20,3,5,Article
20,3,6,Article
20,3,7,Article
20,3,8,Article
20,3,9,Article
20,4,1,Article
20,4,2,Article
20,4,3,Article
20,4,4,Article
20,4,5,Article
20,4,6,Article
20,4,7,book review
20,4,8,book review
20,4,9,book review
20,5,1,introduction
20,5,2,Article
20,5,3,Article
20,5,4,Article
20,5,5,Article
20,5,6,Article
21,1,1,editorial
21,1,2,Article
21,1,3,Article
21,1,4,Article
21,1,5,Article
21,1,6,Article
21,1,7,Article
21,1,8,Article
21,2,1,editorial
21,2,2,introduction
21,2,3,Article
21,2,4,Article
21,2,5,Article
21,2,6,Article
21,2,7,Article
21,2,8,review
21,3,1,Article
21,3,2,Article
21,3,3,Article
21,3,4,Article
21,3,5,Article
21,3,6,correction
21,4,1,editorial
21,4,2,Article
21,4,3,Article
21,4,4,Article
21,4,5,Article
21,4,6,Article
21,4,7,Article
21,4,8,Article
21,4,9,Article
21,5,1,editorial
21,5,2,Article
21,5,3,Article
21,5,4,Article
21,5,5,Article
21,5,6,Article
21,5,7,Article
22,1,1,editorial
22,1,2,Article
22,1,3,Article
22,1,4,Article
22,1,5,Article
22,1,6,Article
22,1,7,Article
22,1,8,book review
22,1,9,book review
22,1,10,book review
22,2,1,Article
22,2,2,Article
22,2,3,Article
22,2,4,Article
22,2,5,Article
22,3,1,editorial
22,3,2,Article
22,3,3,Article
22,3,4,Article
22,3,5,Article
22,3,6,Article
22,4,1,Article
22,4,2,Article
22,4,3,Article
22,4,4,Article
22,4,5,Article
22,4,6,book review
22,5,1,Article
22,5,2,Article
22,5,3,Article
22,5,4,Article
22,5,5,Article
22,5,6,Article
23,1,1,Article
23,1,2,Article
23,1,3,Article
23,1,4,Article
23,1,5,Article
23,1,6,Article
23,1,7,Article
23,1,8,book review
23,S1,1,editorial
23,S1,2,introduction
23,S1,3,Article
23,S1,4,Article
23,S1,5,Article
23,S1,6,Article
23,S1,7,Article
23,S1,8,Article
23,S1,9,Article
23,S1,10,Article
23,S1,11,Article
23,S1,12,Article
23,S1,13,Article
23,S1,14,Article
23,S1,15,Article
23,S1,16,Article
23,S1,17,Article
23,S1,18,Article
23,S1,19,Article
23,S1,20,Article
23,S1,21,Article
23,S1,22,Article
23,S1,23,Article
23,S1,24,Article
23,S1,25,Article
23,S1,26,Article
23,S1,27,Article
23,S1,28,Article
23,S1,29,Article
23,S1,30,Article
23,S1,31,Article
23,S1,32,Article
23,S1,33,Article
23,S1,34,Article
23,S1,35,Article
23,S1,36,Article
23,S1,37,Article
23,S1,38,Article
23,S1,39,Article
23,S1,40,Article
23,S1,41,Article
23,S1,42,Article
23,S1,43,Article
23,S1,44,Article
23,S1,45,Article
23,S1,46,Article
23,S1,47,Article
23,S1,48,Article
23,S1,49,Article
23,S1,50,Article
23,S1,51,Article
23,S1,52,Article
23,S1,53,Article
23,S1,54,Article
23,S1,55,Article
23,S1,56,Article
23,S1,57,Article
23,S1,58,Article
23,S1,59,Article
23,S1,60,Article
23,S1,61,Article
