number_volume,number_issue,number_article,type_1,type_2,page_start,page_end,date_receive,date_accept,date_online,keyword
1,1,1,introduction,Introduction,1,7,,,21 Oct 2013,[]
1,1,2,Article,Original Articles,9,31,,,21 Oct 2013,"['business elites', 'corporate governance', 'legitimacy', 'ruling class', 'business schools', 'careers', 'top executives', 'Germany', 'Great Britain', 'France']"
1,1,3,Article,Original Articles,33,58,,,21 Oct 2013,"['social policy', 'family', 'women’s roles', 'Europe', 'equal opportunities', 'childlessness']"
1,1,4,Article,Original Articles,59,80,,,21 Oct 2013,"['gender', 'equal opportunities', 'European Union', 'employment', 'law', 'regulation']"
1,1,5,Article,Original Articles,81,104,,,21 Oct 2013,"['generations', 'family', 'social policy', 'aging']"
1,1,6,Article,Original Articles,105,116,,,21 Oct 2013,"['Ethnicity', 'multiculturalism', 'Sweden', 'culture', 'essentialism', 'hybridity']"
1,1,7,book review,Book Reviews,117,131,,,21 Oct 2013,[]
1,2,1,introduction,Introduction,133,138,,,21 Oct 2013,[]
1,2,2,Article,Original Articles,139,167,,,21 Oct 2013,"['unemployment', 'social exclusion', 'social networks', 'psychological distress']"
1,2,3,Article,Original Articles,169,196,,,21 Oct 2013,"['unemployment', 'poverty', 'social policy models']"
1,2,4,Article,Original Articles,197,239,,,21 Oct 2013,"['public opinion', 'gender gap', 'equality policy', 'governance', 'European Union']"
1,2,5,Article,Original Articles,241,268,,,21 Oct 2013,"['attitudes', 'political trust', 'welfare state', 'redistribution', 'Sweden', 'Norway', 'comparative research']"
1,2,6,,Review Article,269,287,,,21 Oct 2013,[]
1,2,7,book review,Book Reviews,289,318,,,21 Oct 2013,[]
1,3,1,Article,Original Articles,319,352,,,21 Oct 2013,"['neoliberalism', 'dominant ideology', 'urban violence', 'criminalization of poverty', 'welfare state', 'law and order', 'prison', 'penal policy', 'think-tanks']"
1,3,2,Article,Original Articles,353,389,,,21 Oct 2013,"['death and dying', 'brain death', 'organ transplantation act', 'reflexive modernisation', 'cultural change', 'Germany', 'comparison of cultures']"
1,3,3,Article,Original Articles,391,418,,,21 Oct 2013,"['economic resources', 'income distribution', 'poverty', 'living conditions', 'living standard', 'structural equation modeling']"
1,3,4,Article,Original Articles,419,456,,,21 Oct 2013,"['money', 'marriage', 'gender', 'power', 'ideology', 'discourse', 'household breadwinning']"
1,3,5,book review,Book Reviews,457,496,,,21 Oct 2013,[]
1,3,6,,Index,497,499,,,21 Oct 2013,[]
2,1,1,Article,Original Articles,1,28,,,02 Dec 2010,"['Poverty', 'Values', 'Public Opinion', 'Welfare State', 'Welfare Regime']"
2,1,2,editorial,Editorials,5,6,,,02 Dec 2010,[]
2,1,3,Article,Original Articles,29,50,,,02 Dec 2010,"['Education', 'Vocational Education', 'Qualifications', 'Labor Markets', 'Unemployment', 'Comparative Research']"
