author_number,author_info
1,"[('Thomas P. Boje', ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]"
2,"[('Michel Bauer', ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bauer%2C+Michel'), ('Bénédicte Bertin-Mourot', ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bertin-Mourot%2C+B%C3%A9n%C3%A9dicte')]"
1,"[('Catherine Hakim', ' London School of Economics', 'https://www.tandfonline.com/author/Hakim%2C+Catherine')]"
1,"[('Sylvia Walby', ' University of Leeds', 'https://www.tandfonline.com/author/Walby%2C+Sylvia')]"
1,"[('Martin Kohli', ' Free University of Berlin', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]"
1,"[('Aleksandra Ålund', ' University of Umeå, Sweden', 'https://www.tandfonline.com/author/%C3%85lund%2C+Aleksandra')]"
6,"[('Carlo Ruzza', ' Dept of Sociology, University of Essex.', 'https://www.tandfonline.com/author/Ruzza%2C+Carlo'), ('Mike Savage', ' University of Manchester.', 'https://www.tandfonline.com/author/Savage%2C+Mike'), ('Brendan Halpin', ' Institute for Social and Economic Research, University of Essex.', 'https://www.tandfonline.com/author/Halpin%2C+Brendan'), ('Peter Rosner', ' Department of Economics, University of Vienna.', 'https://www.tandfonline.com/author/Rosner%2C+Peter'), ('Mats Franzén', ' Institute for Housing Research, Uppsala University, Sweden.', 'https://www.tandfonline.com/author/Franz%C3%A9n%2C+Mats'), ('Fiona Wilson', ' Dept of Management, University of St Andrews', 'https://www.tandfonline.com/author/Wilson%2C+Fiona')]"
1,"[('Thomas P. Boje', ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]"
1,"[('Duncan Gallie', ' University of Oxford', 'https://www.tandfonline.com/author/Gallie%2C+Duncan')]"
1,"[('Anita Haataja', ' Ministry of Social Affairs and Health, Helsinki', 'https://www.tandfonline.com/author/Haataja%2C+Anita')]"
1,"[('Ulrike Liebert', ' University of Bremen', 'https://www.tandfonline.com/author/Liebert%2C+Ulrike')]"
1,"[('Stefan Svallfors', ' Umeå University', 'https://www.tandfonline.com/author/Svallfors%2C+Stefan')]"
13,"[('Richard Breen', ' Department of Political and Social Sciences, European University Institute, Florence.', 'https://www.tandfonline.com/author/Breen%2C+Richard'), ('Joe Bailey', ' Kingston University, UK.', 'https://www.tandfonline.com/author/Bailey%2C+Joe'), ('Geoff Payne', ' University of Plymouth, UK.', 'https://www.tandfonline.com/author/Payne%2C+Geoff'), ('Jacques Coenen-Huther', ' University of Geneva, Department of Sociology.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Olaf Struck', ' University of Bremen, Germany.', 'https://www.tandfonline.com/author/Struck%2C+Olaf'), ('Bo Rothstein', ' Department of Political Science, Göteborg University.', 'https://www.tandfonline.com/author/Rothstein%2C+Bo'), ('Klaus Rasborg', ' Department of Social Science and Economics Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('John Scott', ' University of Essex, UK.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Richard Jenkins', ' University of Sheffield, UK.', 'https://www.tandfonline.com/author/Jenkins%2C+Richard'), ('Luis Moreno', ' European University Institute, Italy.', 'https://www.tandfonline.com/author/Moreno%2C+Luis'), ('Celia Valiente', ' Universidad Carlos III de Madrid, Spain', 'https://www.tandfonline.com/author/Valiente%2C+Celia'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Göran Ahrne', ' Department of Sociology, Stockholm University.', 'https://www.tandfonline.com/author/Ahrne%2C+G%C3%B6ran')]"
1,"[('Loïc Wacquant', ' Centre de sociologie européenne du Collège de France University of California-Berkeley', 'https://www.tandfonline.com/author/Wacquant%2C+Lo%C3%AFc')]"
1,"[('Werner Schneider', ' Institute of Sociology, Ludwig Maximilians University, Munich', 'https://www.tandfonline.com/author/Schneider%2C+Werner')]"
1,"[('Björn Halleröd', ' Department of Sociology, Umeå University, Sweden', 'https://www.tandfonline.com/author/Haller%C3%B6d%2C+Bj%C3%B6rn')]"
2,"[('Christine Roman', ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Roman%2C+Christine'), ('Carolyn Vogler', ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]"
12,"[('John Scott', ' University of Essex, UK, and University of Bergen, Norway.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Norman Ginsburg', ' School of Social Sciences, University of North London, UK.', 'https://www.tandfonline.com/author/Ginsburg%2C+Norman'), ('Verena Georgi', ' Sociological Institute, University of Leipzig, Germany.', 'https://www.tandfonline.com/author/Georgi%2C+Verena'), ('Olli Kangas', ' Department of Social Policy, University of Turku, Finland.', 'https://www.tandfonline.com/author/Kangas%2C+Olli'), ('C.G.A. Bryant', ' University of Salford, UK.', 'https://www.tandfonline.com/author/Bryant%2C+CGA'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Stefan Immerfall', ' Universität Passau, Austria', 'https://www.tandfonline.com/author/Immerfall%2C+Stefan'), ('Ricard Gomà', ' (ricard.goma@uab.es), Universitat Autònoma de Barcelona, Spain.', 'https://www.tandfonline.com/author/Gom%C3%A0%2C+Ricard'), ('Klaus Rasborg', ' Department of Social Sciences and Economics, Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Wolfgang Ludwig-Mayerhofer', ' Department of Sociology, Munich University, Germany.', 'https://www.tandfonline.com/author/Ludwig-Mayerhofer%2C+Wolfgang'), ('Daniel Woodley', ' University of Essex, UK.', 'https://www.tandfonline.com/author/Woodley%2C+Daniel')]"
2,"[(' Wim Van Oorschot ', '', 'https://www.tandfonline.com/author/Oorschot%2C+Wim+van'), (' Loek Halman ', '', 'https://www.tandfonline.com/author/Halman%2C+Loek')]"
1,"[(' Thomas P. Boje ', '', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]"
2,"[(' Yossi Shavit ', '', 'https://www.tandfonline.com/author/Shavit%2C+Yossi'), (' Walter Muller ', '', 'https://www.tandfonline.com/author/Muller%2C+Walter')]"
1,"[(' Norman Braun ', '', 'https://www.tandfonline.com/author/Braun%2C+Norman')]"
2,"[(' Risto Alapuro ', '', 'https://www.tandfonline.com/author/Alapuro%2C+Risto'), (' Markku Lonkila ', '', 'https://www.tandfonline.com/author/Lonkila%2C+Markku')]"
0,[]
1,"[(' Martin Kohli ', ' Free University of Berlin ', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]"
1,"[(' Peo Hansen ', ' Umea University ', 'https://www.tandfonline.com/author/Hansen%2C+Peo')]"
1,"[(' Heiner Meulemann ', ' University of Cologne ', 'https://www.tandfonline.com/author/Meulemann%2C+Heiner')]"
2,"[(' Rodolfo Gutierrez ', ' Universidad de Oviedo ', 'https://www.tandfonline.com/author/Gutierrez%2C+Rodolfo'), (' Ana M. Guillen ', '', 'https://www.tandfonline.com/author/Guillen%2C+Ana+M')]"
0,[]
1,"[(' Heiner Ganßmann ', ' Freie Universität , Berlin', 'https://www.tandfonline.com/author/Gan%C3%9Fmann%2C+Heiner')]"
1,"[(' Vadim Radaev ', ' State University - Higher School of Economics , Moscow ', 'https://www.tandfonline.com/author/Radaev%2C+Vadim')]"
1,"[(' Magnus Nermo ', ' Swedish Institute for Social Research , Stockholm University ', 'https://www.tandfonline.com/author/Nermo%2C+Magnus')]"
2,"[(' Pieter Van Duin ', ' Leiden ', 'https://www.tandfonline.com/author/van+Duin%2C+Pieter'), (' Zuzana Poláč ková ', ' Slovak Academy of Sciences , Bratislava ', 'https://www.tandfonline.com/author/Kov%C3%A1%2C+Zuzana+Pol%C3%A1%C4%8D')]"
0,[]
2,"[(' Mérove Gijsberts ', '', 'https://www.tandfonline.com/author/Gijsberts%2C+M%C3%A9rove'), (' Paul Nieuwbeerta ', '', 'https://www.tandfonline.com/author/Nieuwbeerta%2C+Paul')]"
1,"[(' Giuliano Bonoli ', '', 'https://www.tandfonline.com/author/Bonoli%2C+Giuliano')]"
1,"[(' John Holmwood ', '', 'https://www.tandfonline.com/author/Holmwood%2C+John')]"
1,"[(' Simon Clarke ', '', 'https://www.tandfonline.com/author/Clarke%2C+Simon')]"
4,"[(' Christopher T. Whelan ', '', 'https://www.tandfonline.com/author/Whelan%2C+Christopher+T'), (' Richard Layte ', '', 'https://www.tandfonline.com/author/Layte%2C+Richard'), (' Bertrand Maître ', '', 'https://www.tandfonline.com/author/Ma%C3%AEtre%2C+Bertrand'), (' Brian Nolan ', '', 'https://www.tandfonline.com/author/Nolan%2C+Brian')]"
1,"[(' Max Haller ', '', 'https://www.tandfonline.com/author/Haller%2C+Max')]"
0,[]
0,[]
1,"[(' Patrik Aspers ', '', 'https://www.tandfonline.com/author/Aspers%2C+Patrik')]"
1,"[(' Nigel Dodd ', '', 'https://www.tandfonline.com/author/Dodd%2C+Nigel')]"
1,"[(' Johan Heilbron ', '', 'https://www.tandfonline.com/author/Heilbron%2C+Johan')]"
1,"[(' A. Javier Izquierdo ', '', 'https://www.tandfonline.com/author/Izquierdo%2C+A+Javier')]"
1,"[(' Frédéric Lebaron ', '', 'https://www.tandfonline.com/author/Lebaron%2C+Fr%C3%A9d%C3%A9ric')]"
0,[]
1,"[(' Detlef Pollack ', '', 'https://www.tandfonline.com/author/Pollack%2C+Detlef')]"
1,"[(' Rosemary Crompton ', '', 'https://www.tandfonline.com/author/Crompton%2C+Rosemary')]"
1,"[(' Jiří Večerník ', '', 'https://www.tandfonline.com/author/Ve%C4%8Dern%C3%ADk%2C+Ji%C5%99%C3%AD')]"
2,"[(' Roberta Sassatelli ', '', 'https://www.tandfonline.com/author/Sassatelli%2C+Roberta'), (' Alan Scott ', '', 'https://www.tandfonline.com/author/Scott%2C+Alan')]"
0,[]
1,"[(' Neil Fligstein ', '', 'https://www.tandfonline.com/author/Fligstein%2C+Neil')]"
1,"[(' Johan Nylander ', '', 'https://www.tandfonline.com/author/Nylander%2C+Johan')]"
1,"[(' Carolyn Vogler ', '', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]"
1,"[(' Constanza Tobío ', '', 'https://www.tandfonline.com/author/Tob%C3%ADo%2C+Constanza')]"
0,[]
1,"[(' Lydia Morris ', '', 'https://www.tandfonline.com/author/Morris%2C+Lydia')]"
1,"[(' Stephan Klasen ', '', 'https://www.tandfonline.com/author/Klasen%2C+Stephan')]"
4,"[(' Bea Cantillon ', '', 'https://www.tandfonline.com/author/Cantillon%2C+Bea'), (' Joris Ghysels ', '', 'https://www.tandfonline.com/author/Ghysels%2C+Joris'), (' Ninke Mussche ', '', 'https://www.tandfonline.com/author/Mussche%2C+Ninke'), (' Rudi Van Dam ', '', 'https://www.tandfonline.com/author/van+Dam%2C+Rudi')]"
1,"[(' Markus Gangl ', '', 'https://www.tandfonline.com/author/Gangl%2C+Markus')]"
1,"[(' John Gelissen ', '', 'https://www.tandfonline.com/author/Gelissen%2C+John')]"
0,[]
1,"[(' Jan Ifversen ', '', 'https://www.tandfonline.com/author/Ifversen%2C+Jan')]"
3,"[(' Martin Diewald ', '', 'https://www.tandfonline.com/author/Diewald%2C+Martin'), (' Heike Solga ', '', 'https://www.tandfonline.com/author/Solga%2C+Heike'), (' Anne Goedicke ', '', 'https://www.tandfonline.com/author/Goedicke%2C+Anne')]"
2,"[(' Michaela Kreyenfeld ', '', 'https://www.tandfonline.com/author/Kreyenfeld%2C+Michaela'), (' Dirk Konietzka ', '', 'https://www.tandfonline.com/author/Konietzka%2C+Dirk')]"
1,"[(' Marc Szydlik ', '', 'https://www.tandfonline.com/author/Szydlik%2C+Marc')]"
4,"[(' Ruud Luijkx ', '', 'https://www.tandfonline.com/author/Luijkx%2C+Ruud'), (' Péter Róbert ', '', 'https://www.tandfonline.com/author/R%C3%B3bert%2C+P%C3%A9ter'), (' Paul M. De Graaf ', '', 'https://www.tandfonline.com/author/Graaf%2C+Paul+M+de'), (' Harry B.G. Ganzeboom ', '', 'https://www.tandfonline.com/author/Ganzeboom%2C+Harry+BG')]"
0,[]
2,"[(' Denis Bouget ', '', 'https://www.tandfonline.com/author/Bouget%2C+Denis'), (' Gérard Brovelli ', '', 'https://www.tandfonline.com/author/Brovelli%2C+G%C3%A9rard')]"
3,"[(' Peer Scheepers ', '', 'https://www.tandfonline.com/author/Scheepers%2C+Peer'), (' Manfred Te Grotenhuis ', '', 'https://www.tandfonline.com/author/Grotenhuis%2C+Manfred+te'), (' John Gelissen ', '', 'https://www.tandfonline.com/author/Gelissen%2C+John')]"
