views,Crossref,Web_of_Science
26,1,0
78,14,0
439,15,0
142,13,0
370,194,0
282,7,0
19,0,0
8,1,0
491,22,0
380,0,0
217,16,0
474,25,3
19,0,0
610,68,0
49,0,0
23,5,0
105,19,0
13,0,0
608,63,0
11,0,0
"2,179",167,3
61,0,0
59,6,0
17,0,0
"3,221",111,0
372,16,0
53,5,0
36,5,0
11,0,0
239,15,0
59,5,13
163,23,0
116,2,3
14,0,0
337,24,0
388,35,6
145,8,0
64,16,0
48,10,0
68,0,0
1,0,0
6,0,0
689,17,0
191,4,0
152,11,0
95,15,1
197,40,5
20,0,0
114,19,0
153,21,0
33,8,0
489,70,0
19,0,0
451,49,0
189,12,0
40,1,0
269,29,3
30,0,0
314,16,0
920,18,0
235,18,3
405,50,0
232,15,3
22,0,0
"1,595",24,0
43,5,0
123,15,0
67,10,0
55,8,0
17,0,0
180,2,0
384,59,0
408,27,0
85,12,0
410,68,0
154,9,3
111,8,3
"4,221",170,0
72,3,0
23,0,0
112,24,0
13,0,0
"4,144",138,10
190,18,0
76,10,0
"3,491",278,6
153,9,0
508,25,6
234,4,3
18,0,0
206,9,0
189,5,0
35,0,0
175,7,0
28,0,0
63,4,0
"3,750",383,0
464,67,0
84,4,0
512,41,3
71,4,0
10,0,0
582,80,6
581,23,0
132,18,0
100,15,0
363,11,0
6,0,0
81,4,3
26,1,0
42,2,0
17,0,0
40,3,0
14,3,0
49,12,0
224,11,0
10,0,0
10,0,0
15,0,0
21,0,0
6,0,0
19,0,0
9,0,0
437,0,0
12,0,0
"2,172",33,3
172,8,0
541,36,0
770,52,0
31,0,0
7,0,0
144,13,0
352,16,0
255,13,3
23,0,0
10,0,0
550,11,0
"1,720",116,3
225,20,3
714,27,0
386,34,0
138,17,0
91,10,0
36,0,0
526,9,6
933,35,3
700,12,0
539,10,0
706,17,3
310,17,0
33,0,0
98,2,0
281,15,0
691,43,3
870,47,0
907,52,0
741,25,0
28,0,0
14,0,0
163,10,0
829,66,9
259,4,0
"1,608",37,0
162,12,0
20,0,0
367,4,0
"1,087",20,0
313,12,0
148,7,1
274,11,0
15,0,0
320,21,0
264,20,0
"1,380",4,0
299,10,0
147,4,0
601,49,1
396,8,9
68,0,0
12,0,0
191,18,0
86,9,3
278,42,0
553,29,0
494,18,8
459,37,25
"2,288",146,8
12,0,0
408,32,0
"1,413",32,0
86,5,0
156,8,0
365,14,0
259,8,0
"2,010",53,3
19,0,0
39,0,0
670,3,2
147,4,1
155,0,0
378,5,0
323,13,0
119,2,0
16,0,0
"1,647",51,0
286,5,0
461,18,0
335,15,0
251,14,0
681,13,0
26,0,0
39,0,0
"1,425",14,0
481,8,0
"1,066",49,3
"1,283",19,0
384,52,0
212,4,0
59,1,0
16,0,0
"3,816",51,9
164,1,0
49,5,0
266,16,0
161,1,0
210,15,0
"1,731",116,3
 26,0,0
 20,0,0
 17,0,0
 11,0,0
 13,0,0
453,19,0
153,7,0
160,10,0
147,3,0
387,23,0
157,1,0
83,3,0
91,3,0
10,0,0
112,3,0
146,0,3
144,8,0
161,2,0
374,18,0
349,1,0
726,20,0
16,0,0
14,0,0
"1,028",19,6
783,62,0
287,9,0
163,5,1
68,1,0
"1,159",21,3
65,11,0
12,0,0
664,27,0
641,31,0
207,16,3
147,8,0
155,11,0
24,0,0
263,9,0
"1,490",30,0
305,10,0
331,6,0
291,10,0
491,25,0
100,2,0
"1,324",51,1
14,0,0
506,7,0
78,2,0
670,38,3
466,4,0
732,0,6
143,2,0
639,25,0
17,0,0
449,15,0
81,2,3
747,60,0
365,19,0
545,26,0
426,22,0
25,2,0
"3,816",122,6
221,8,0
"2,475",54,2
175,3,0
"1,251",23,0
161,9,0
120,0,1
16,0,0
321,7,0
"1,450",9,0
253,0,1
782,12,0
295,8,0
"1,533",26,3
57,0,0
162,0,0
186,0,0
17,0,0
"1,512",9,0
382,3,0
355,16,0
"1,200",36,0
"1,118",25,1
447,7,0
85,0,0
139,0,0
20,0,0
"1,855",5,3
565,2,0
197,3,0
"1,755",27,0
699,3,0
229,3,11
109,0,0
84,0,0
75,0,0
68,0,0
802,31,3
407,17,0
630,16,0
"2,594",192,0
235,11,0
392,15,0
624,8,0
227,0,1
116,0,0
38,0,0
