number_volume,number_issue,number_article,type,page_start,page_end,date_receive,date_accept,date_online,keyword,name_book,author_number,author_info,views,Crossref,Web_of_Science
1,1,1,introduction,1,7,,,21 Oct 2013,[],Introduction,1,"[('Thomas P. Boje', ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]",26,1,0
1,1,2,Article,9,31,,,21 Oct 2013,"['business elites', 'corporate governance', 'legitimacy', 'ruling class', 'business schools', 'careers', 'top executives', 'Germany', 'Great Britain', 'France']",National models for making and legitimating elites,2,"[('Michel Bauer', ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bauer%2C+Michel'), ('Bénédicte Bertin-Mourot', ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bertin-Mourot%2C+B%C3%A9n%C3%A9dicte')]",78,14,0
1,1,3,Article,33,58,,,21 Oct 2013,"['social policy', 'family', 'women’s roles', 'Europe', 'equal opportunities', 'childlessness']","Models of the family, women’s role and social policy",1,"[('Catherine Hakim', ' London School of Economics', 'https://www.tandfonline.com/author/Hakim%2C+Catherine')]",439,15,0
1,1,4,Article,59,80,,,21 Oct 2013,"['gender', 'equal opportunities', 'European Union', 'employment', 'law', 'regulation']",The European Union and equal opportunities policies,1,"[('Sylvia Walby', ' University of Leeds', 'https://www.tandfonline.com/author/Walby%2C+Sylvia')]",142,13,0
1,1,5,Article,81,104,,,21 Oct 2013,"['generations', 'family', 'social policy', 'aging']",Private and public transfers between generations: linking the family and the state,1,"[('Martin Kohli', ' Free University of Berlin', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]",370,194,0
1,1,6,Article,105,116,,,21 Oct 2013,"['Ethnicity', 'multiculturalism', 'Sweden', 'culture', 'essentialism', 'hybridity']","Ethnicity, multiculturalism and the problem of culture",1,"[('Aleksandra Ålund', ' University of Umeå, Sweden', 'https://www.tandfonline.com/author/%C3%85lund%2C+Aleksandra')]",282,7,0
1,1,7,book review,117,131,,,21 Oct 2013,[],Book Reviews,6,"[('Carlo Ruzza', ' Dept of Sociology, University of Essex.', 'https://www.tandfonline.com/author/Ruzza%2C+Carlo'), ('Mike Savage', ' University of Manchester.', 'https://www.tandfonline.com/author/Savage%2C+Mike'), ('Brendan Halpin', ' Institute for Social and Economic Research, University of Essex.', 'https://www.tandfonline.com/author/Halpin%2C+Brendan'), ('Peter Rosner', ' Department of Economics, University of Vienna.', 'https://www.tandfonline.com/author/Rosner%2C+Peter'), ('Mats Franzén', ' Institute for Housing Research, Uppsala University, Sweden.', 'https://www.tandfonline.com/author/Franz%C3%A9n%2C+Mats'), ('Fiona Wilson', ' Dept of Management, University of St Andrews', 'https://www.tandfonline.com/author/Wilson%2C+Fiona')]",19,0,0
1,2,1,introduction,133,138,,,21 Oct 2013,[],Introduction,1,"[('Thomas P. Boje', ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]",8,1,0
1,2,2,Article,139,167,,,21 Oct 2013,"['unemployment', 'social exclusion', 'social networks', 'psychological distress']",Unemployment and social exclusion in the European Union,1,"[('Duncan Gallie', ' University of Oxford', 'https://www.tandfonline.com/author/Gallie%2C+Duncan')]",491,22,0
1,2,3,Article,169,196,,,21 Oct 2013,"['unemployment', 'poverty', 'social policy models']","Unemployment, employment and poverty",1,"[('Anita Haataja', ' Ministry of Social Affairs and Health, Helsinki', 'https://www.tandfonline.com/author/Haataja%2C+Anita')]",380,0,0
1,2,4,Article,197,239,,,21 Oct 2013,"['public opinion', 'gender gap', 'equality policy', 'governance', 'European Union']",Gender politics in the European Union,1,"[('Ulrike Liebert', ' University of Bremen', 'https://www.tandfonline.com/author/Liebert%2C+Ulrike')]",217,16,0
1,2,5,Article,241,268,,,21 Oct 2013,"['attitudes', 'political trust', 'welfare state', 'redistribution', 'Sweden', 'Norway', 'comparative research']",Political trust and attitudes towards redistribution,1,"[('Stefan Svallfors', ' Umeå University', 'https://www.tandfonline.com/author/Svallfors%2C+Stefan')]",474,25,3
1,2,7,book review,289,318,,,21 Oct 2013,[],Book Reviews,13,"[('Richard Breen', ' Department of Political and Social Sciences, European University Institute, Florence.', 'https://www.tandfonline.com/author/Breen%2C+Richard'), ('Joe Bailey', ' Kingston University, UK.', 'https://www.tandfonline.com/author/Bailey%2C+Joe'), ('Geoff Payne', ' University of Plymouth, UK.', 'https://www.tandfonline.com/author/Payne%2C+Geoff'), ('Jacques Coenen-Huther', ' University of Geneva, Department of Sociology.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Olaf Struck', ' University of Bremen, Germany.', 'https://www.tandfonline.com/author/Struck%2C+Olaf'), ('Bo Rothstein', ' Department of Political Science, Göteborg University.', 'https://www.tandfonline.com/author/Rothstein%2C+Bo'), ('Klaus Rasborg', ' Department of Social Science and Economics Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('John Scott', ' University of Essex, UK.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Richard Jenkins', ' University of Sheffield, UK.', 'https://www.tandfonline.com/author/Jenkins%2C+Richard'), ('Luis Moreno', ' European University Institute, Italy.', 'https://www.tandfonline.com/author/Moreno%2C+Luis'), ('Celia Valiente', ' Universidad Carlos III de Madrid, Spain', 'https://www.tandfonline.com/author/Valiente%2C+Celia'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Göran Ahrne', ' Department of Sociology, Stockholm University.', 'https://www.tandfonline.com/author/Ahrne%2C+G%C3%B6ran')]",19,0,0
