number_volume,number_issue,number_article,year,period,type_decide,type_1,type_2,name_book,name_book_words,name_book_len,keyword,author_number,author_info,country_list,author_mutiple_country,judge_mutiple_country_article,page_start,page_end,page_quant,date_receive,date_accept,date_online,views,Crossref,Web_of_Science
1,1,5,1999,1999-1,article,Article,Original Articles,private and public transfers between generations: linking the family and the state,"['private', 'public', 'transfer', 'generation', 'linking', 'family', 'state']",82.0,"['generations', 'family', 'social policy', 'aging']",1,"[('Martin Kohli', 'male', ""['Germany']"", ' Free University of Berlin', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]","[('Germany', 1)]",0,0,81,104,24,,,21 Oct 2013,371,194,0
2,1,3,2000,2000-1,article,Article,Original Articles,vocational secondary education,"['vocational', 'secondary', 'education']",30.0,"['Education', 'Vocational Education', 'Qualifications', 'Labor Markets', 'Unemployment', 'Comparative Research']",2,[],[],0,0,29,50,22,,,02 Dec 2010,"2,194",167,3
2,2,1,2000,2000-2,article,Article,Original Articles,the battlegrounds of european identity,"['battleground', 'european', 'identity']",38.0,"['Europe', 'Identity']",1,"[('Martin Kohli', 'male', ""['Germany']"", ' Free University of Berlin ', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]","[('Germany', 1)]",0,0,113,137,25,,,02 Dec 2010,"3,231",110,0
4,4,1,2002,2002-4,article,Article,Original Articles,gender and welfare state change,"['gender', 'welfare', 'state', 'change']",31.0,"['Gender', 'Welfare Regime', 'Welfare Restructuring', 'Work Welfare', 'Relationship', 'Individualization', 'Adult Worker Model Family']",1,[],[],0,0,331,357,27,,,02 Dec 2010,"4,246",170,0
5,1,1,2003,2003-1,article,Article,Original Articles,"unemployment, poverty and social isolation: is there a vicious circle of social exclusion?","['unemployment', 'poverty', 'social', 'isolation', 'vicious', 'circle', 'social', 'exclusion']",90.0,[],3,"[('Duncan Gallie', 'unknown', ""['United Kingdom']"", ' University of Oxford and Nuffield College , Oxford', 'https://www.tandfonline.com/author/Gallie%2C+Duncan'), ('Serge Paugam', 'male', ""['France']"", ' Ecole des Hautes Etudes en Sciences Sociales , Paris ', 'https://www.tandfonline.com/author/Paugam%2C+Serge'), ('Sheila Jacobs', 'female', ""['United Kingdom']"", ' Nuffield College , Oxford', 'https://www.tandfonline.com/author/Jacobs%2C+Sheila')]","[('United Kingdom', 2), ('France', 1)]",0,1,1,32,32,,,09 Dec 2010,"4,168",138,10
5,2,1,2003,2003-2,article,Article,Original Articles,who trusts?: the origins of social trust in seven societies,"['trust', 'origin', 'social', 'trust', 'seven', 'society']",59.0,"['Social Trust', 'Social Capital', 'Cleavages', 'Personality', 'Cross-national Comparison', 'Euromodule Survey']",2,"[('Jan Delhey', 'male', ""['Germany']"", ' Department of Social Structure and Social Reporting , Social Science Research Centre , Berlin, WZB, Germany ', 'https://www.tandfonline.com/author/Delhey%2C+Jan'), ('Kenneth Newton', 'male', ""['United Kingdom']"", ' Department of Political Science , University of Southampton , UK ', 'https://www.tandfonline.com/author/Newton%2C+Kenneth')]","[('Germany', 1), ('United Kingdom', 1)]",0,1,93,137,45,,,02 Dec 2010,"3,510",279,6
5,4,2,2003,2003-4,article,Article,Original Articles,varieties of familialism: the caring function of the family in comparative perspective,"['variety', 'familialism', 'caring', 'function', 'family', 'comparative', 'perspective']",86.0,"['family policy', 'child care', 'elderly care', 'gender', 'welfare state typology']",1,[],[],0,0,353,375,23,,,04 Jun 2010,"3,769",384,0
7,2,6,2005,2005-2,article,,Miscellany,welfare state policies and the development of care arrangements,"['welfare', 'state', 'policy', 'development', 'care', 'arrangement']",63.0,"['informal care', 'comparative social policy analyses', 'family values', 'development paths', 'care arrangements', 'childcare']",1,[],[],0,0,321,347,27,,,01 Sep 2006,"2,043",120,1
8,1,3,2006,2006-1,article,Article,Original Articles,the variety of social capital in welfare state regimes – a comparative study of 21 countries,"['variety', 'social', 'capital', 'welfare', 'state', 'regime', '–', 'comparative', 'study', '21', 'country']",92.0,"['social capital', 'welfare state regimes', 'social networks', 'trust', 'informal social support', 'ISSP']",2,"[('Juha Kääriäinen PhD', 'male', ""['Finland']"", ' The Police College of Finland , PL 13, 02151, Espoo, Finland ', 'https://www.tandfonline.com/author/K%C3%A4%C3%A4ri%C3%A4inen%2C+Juha'), ('Heikki Lehtonen', 'male', ""['Finland']"", ' Department of Social Policy and Social Work , University of Tampere , FIN-33014 University of Tampere, Finland ', 'https://www.tandfonline.com/author/Lehtonen%2C+Heikki')]","[('Finland', 2)]",0,0,27,57,31,,,19 Aug 2006,"1,733",117,3
9,3,8,2007,2007-3,article,Article,Original Articles,the european socio-economic classification: a new social class schema for comparative european research,"['european', 'socio-economic', 'classification', 'new', 'social', 'class', 'schema', 'comparative', 'european', 'research']",103.0,"['social class', 'occupations', 'health inequalities', 'poverty', 'deprivation', 'unemployment']",2,"[('David Rose', 'unknown', ""['United Kingdom']"", ' Institute for Social and Economic Research , University of Essex , Colchester, Essex, CO4 3SQ, UK ', 'https://www.tandfonline.com/author/Rose%2C+David'), ('Eric Harrison', 'male', ""['United Kingdom']"", ' Centre for Comparative Social Surveys , City University , Northampton Square, London, EC1V 0HB, UK ', 'https://www.tandfonline.com/author/Harrison%2C+Eric')]","[('United Kingdom', 2)]",0,0,459,490,32,,,27 Jun 2007,"2,298",146,8
