number_volume,number_issue,number_article,type_1,type_2,name_book,keyword,author_number,author_info,page_start,page_end,page_number,date_receive,date_accept,date_online,views,Crossref,Web_of_Science
1,1,1,introduction,Introduction,Introduction,[],1,"[('Thomas P. Boje', ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]",1,7,7,,,21 Oct 2013,26,1,0
1,1,2,Article,Original Articles,National models for making and legitimating elites,"['business elites', 'corporate governance', 'legitimacy', 'ruling class', 'business schools', 'careers', 'top executives', 'Germany', 'Great Britain', 'France']",2,"[('Michel Bauer', ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bauer%2C+Michel'), ('Bénédicte Bertin-Mourot', ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bertin-Mourot%2C+B%C3%A9n%C3%A9dicte')]",9,31,23,,,21 Oct 2013,78,14,0
1,1,3,Article,Original Articles,"Models of the family, women’s role and social policy","['social policy', 'family', 'women’s roles', 'Europe', 'equal opportunities', 'childlessness']",1,"[('Catherine Hakim', ' London School of Economics', 'https://www.tandfonline.com/author/Hakim%2C+Catherine')]",33,58,26,,,21 Oct 2013,441,15,0
1,1,4,Article,Original Articles,The European Union and equal opportunities policies,"['gender', 'equal opportunities', 'European Union', 'employment', 'law', 'regulation']",1,"[('Sylvia Walby', ' University of Leeds', 'https://www.tandfonline.com/author/Walby%2C+Sylvia')]",59,80,22,,,21 Oct 2013,142,13,0
1,1,5,Article,Original Articles,Private and public transfers between generations: linking the family and the state,"['generations', 'family', 'social policy', 'aging']",1,"[('Martin Kohli', ' Free University of Berlin', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]",81,104,24,,,21 Oct 2013,371,194,0
1,1,6,Article,Original Articles,"Ethnicity, multiculturalism and the problem of culture","['Ethnicity', 'multiculturalism', 'Sweden', 'culture', 'essentialism', 'hybridity']",1,"[('Aleksandra Ålund', ' University of Umeå, Sweden', 'https://www.tandfonline.com/author/%C3%85lund%2C+Aleksandra')]",105,116,12,,,21 Oct 2013,284,7,0
1,1,7,book review,Book Reviews,Book Reviews,[],6,"[('Carlo Ruzza', ' Dept of Sociology, University of Essex.', 'https://www.tandfonline.com/author/Ruzza%2C+Carlo'), ('Mike Savage', ' University of Manchester.', 'https://www.tandfonline.com/author/Savage%2C+Mike'), ('Brendan Halpin', ' Institute for Social and Economic Research, University of Essex.', 'https://www.tandfonline.com/author/Halpin%2C+Brendan'), ('Peter Rosner', ' Department of Economics, University of Vienna.', 'https://www.tandfonline.com/author/Rosner%2C+Peter'), ('Mats Franzén', ' Institute for Housing Research, Uppsala University, Sweden.', 'https://www.tandfonline.com/author/Franz%C3%A9n%2C+Mats'), ('Fiona Wilson', ' Dept of Management, University of St Andrews', 'https://www.tandfonline.com/author/Wilson%2C+Fiona')]",117,131,15,,,21 Oct 2013,19,0,0
1,2,1,introduction,Introduction,Introduction,[],1,"[('Thomas P. Boje', ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]",133,138,6,,,21 Oct 2013,8,1,0
1,2,2,Article,Original Articles,Unemployment and social exclusion in the European Union,"['unemployment', 'social exclusion', 'social networks', 'psychological distress']",1,"[('Duncan Gallie', ' University of Oxford', 'https://www.tandfonline.com/author/Gallie%2C+Duncan')]",139,167,29,,,21 Oct 2013,494,22,0
1,2,3,Article,Original Articles,"Unemployment, employment and poverty","['unemployment', 'poverty', 'social policy models']",1,"[('Anita Haataja', ' Ministry of Social Affairs and Health, Helsinki', 'https://www.tandfonline.com/author/Haataja%2C+Anita')]",169,196,28,,,21 Oct 2013,381,0,0
