number_volume,number_issue,article_quant,year,period,name_book_len_mean,name_book_len_std,page_start,page_end,page_start_mod,page_end_mod,page_quant_1,page_quant_2,theme,special_1
1,1,7,1999,1999-1,44.714285714285715,24.958060058922083,1,131,1,131,131,129,,0
1,2,7,1999,1999-2,37.0,18.81488772222678,133,318,133,318,186,183,,0
1,3,6,1999,1999-3,45.666666666666664,43.070484866862905,319,499,319,499,181,180,,0
2,1,6,2000,2000-1,25.666666666666668,11.944315244779277,1,108,1,108,108,110,,0
2,2,5,2000,2000-2,34.0,23.22713929867387,113,238,113,238,126,124,,0
2,3,5,2000,2000-3,61.8,33.108911187171344,243,389,243,389,147,145,,0
2,4,8,2000,2000-4,69.5,41.65847538531111,397,563,397,563,167,166,,0
3,1,7,2001,2001-1,46.714285714285715,37.16052693254984,1,130,1,130,130,134,,0
3,2,5,2001,2001-2,69.2,41.11812252523211,135,256,135,256,122,121,,0
3,3,5,2001,2001-3,78.6,45.39052764619508,261,381,261,381,121,119,,0
3,4,6,2001,2001-4,77.83333333333333,39.42292057504957,387,538,387,538,152,148,,0
4,1,6,2002,2002-1,59.666666666666664,28.835163718395407,1,156,1,156,156,155,,0
4,2,4,2002,2002-2,93.0,21.571586249817912,161,260,161,260,100,98,,0
4,3,3,2002,2002-3,55.333333333333336,42.665364563464514,265,329,265,329,65,65,,0
4,4,5,2002,2002-4,65.4,49.21686702747342,331,424,331,424,94,93,,0
5,1,3,2003,2003-1,71.33333333333333,17.243356208503418,1,90,1,90,90,90,,0
5,2,5,2003,2003-2,43.2,22.554378732299412,93,231,93,231,139,135,,0
5,3,5,2003,2003-3,69.2,35.63285001231308,235,345,235,345,111,110,,0
5,4,6,2003,2003-4,65.16666666666667,21.921830823785374,349,463,349,463,115,111,,0
6,1,6,2004,2004-1,98.5,33.53058305487693,1,117,1,117,117,115,,0
6,2,10,2004,2004-2,71.2,49.24045310740166,119,260,119,260,142,138,,0
6,3,7,2004,2004-3,40.857142857142854,29.974592415514017,263,412,263,412,150,149,,0
6,4,6,2004,2004-4,28.166666666666668,18.443607745413225,421,534,421,534,114,111,,0
7,1,9,2005,2005-1,49.77777777777778,33.666666666666664,1,193,1,193,193,189,,0
7,2,8,2005,2005-2,41.5,18.761663039293715,195,375,195,375,181,178,,0
7,3,6,2005,2005-3,57.0,38.88444419044716,377,509,377,509,133,131,,0
7,4,5,2005,2005-4,77.0,75.10326224605693,511,613,511,613,103,102,,0
8,1,9,2006,2006-1,75.11111111111111,39.60885142378041,1,211,1,211,211,207,,0
8,2,7,2006,2006-2,54.57142857142857,41.311246018718045,215,355,215,355,141,137,"Concepts, approaches and problems of work-life balance",1
8,3,7,2006,2006-3,64.42857142857143,41.724721460452926,357,488,357,488,132,128,,0
8,4,6,2006,2006-4,67.5,36.24775855139184,491,624,491,624,134,131,,0
9,1,6,2007,2007-1,63.166666666666664,32.33213056182142,1,111,1,111,111,110,,0
9,2,9,2007,2007-2,60.333333333333336,36.45545226711637,115,312,115,312,198,192,,0
9,3,8,2007,2007-3,80.0,31.919541708131444,313,490,313,490,178,176,,0
9,4,9,2007,2007-4,59.888888888888886,44.995678804870934,491,678,491,678,188,185,,0
9,5,7,2007,2007-5,73.57142857142857,32.217268365775226,681,796,681,796,116,115,The European Public Sphere and Mass Communications,1
10,1,7,2008,2008-1,70.28571428571429,35.08900248280215,1,140,1,140,140,137,,0
10,2,9,2008,2008-2,31.555555555555557,19.793377119071362,143,325,143,325,183,177,Cultural Spaces in Europe,1
