year,article_quant,article_one_quant,article_one_share,number_review
1999,20,14,0.7,4
2000,24,12,0.5,4
2001,23,16,0.6956521739130435,4
2002,18,6,0.3333333333333333,2
2003,19,9,0.47368421052631576,1
2004,29,12,0.41379310344827586,1
2005,28,14,0.5,3
2006,29,14,0.4827586206896552,2
2007,39,23,0.5897435897435898,2
2008,47,27,0.574468085106383,6
2009,38,16,0.42105263157894735,1
2010,48,33,0.6875,11
2011,42,20,0.47619047619047616,5
2012,62,40,0.6451612903225806,9
2013,48,29,0.6041666666666666,5
2014,54,32,0.5925925925925926,8
2015,45,28,0.6222222222222222,9
2016,31,15,0.4838709677419355,4
2017,36,22,0.6111111111111112,4
2018,38,20,0.5263157894736842,3
2019,38,11,0.2894736842105263,0
2020,33,14,0.42424242424242425,4
2021,75,15,0.2,2
