year,article_quant,article_one_quant,article_one_share,article_judge_quant,article_judge_share,number_review,Crossref_mean_1,Crossref_max_1,Crossref_median_1,Crossref_mean_2,Crossref_max_2,Crossref_median_2,Crossref_mean_3,Crossref_max_3,Crossref_median_3,Crossref_mean_4,Crossref_max_4,Crossref_median_4,Crossref_mean_5,Crossref_max_5,Crossref_median_5,Crossref_mean_special_0,Crossref_max_special_0,Crossref_median_special_0,Crossref_mean_special_1,Crossref_max_special_1,Crossref_median_special_1
1999,20,14,0.7,5,0.25,4,34.857142857142854,194,13.0,9.142857142857142,25,1.0,15.333333333333334,68.0,2.5,,,,,,,20.0,194,6.0,,,
2000,24,12,0.5,1,0.0416666666666666,4,39.333333333333336,167,3.0,27.2,110,5.0,9.0,23.0,5.0,11.625,35.0,9.0,,,,21.25,167,5.5,,,
2001,23,16,0.6956521739130435,0,0.0,4,12.571428571428571,41,11.0,23.6,70,19.0,18.2,49.0,12.0,19.5,50.0,17.0,,,,18.0,70,15.0,,,
2002,18,6,0.3333333333333333,0,0.0,2,10.333333333333334,24,9.0,25.0,59,19.5,28.666666666666668,69.0,9.0,39.4,170.0,3.0,,,,24.72222222222222,170,9.5,,,
2003,19,9,0.4736842105263158,2,0.1052631578947368,1,55.66666666666666,138,19.0,63.4,279,9.0,4.2,9.0,5.0,84.0,384.0,22.5,,,,53.10526315789474,384,9.0,,,
2004,29,12,0.4137931034482759,3,0.1034482758620689,1,24.5,80,16.5,3.6,12,2.5,8.714285714285714,34.0,6.0,23.166666666666668,78.0,15.5,,,,13.206896551724139,80,7.0,,,
2005,28,14,0.5,0,0.0,3,21.444444444444443,67,12.0,21.5,120,5.5,21.5,52.0,20.5,8.4,16.0,13.0,,,,19.142857142857142,120,10.0,,,
2006,29,14,0.4827586206896552,4,0.1379310344827586,2,26.22222222222222,117,17.0,14.571428571428571,35,13.0,26.285714285714285,52.0,25.0,21.5,66.0,11.0,,,,24.954545454545453,117,16.0,14.571428571428571,35.0,13.0
2007,39,23,0.5897435897435898,4,0.1025641025641025,2,9.0,20,9.0,12.88888888888889,49,8.0,37.375,146.0,23.5,16.88888888888889,53.0,8.0,3.857142857142857,13.0,3.0,19.40625,146,10.5,3.857142857142857,13.0,3.0
2008,47,27,0.5744680851063829,3,0.0638297872340425,6,16.571428571428573,51,14.0,16.333333333333332,52,8.0,15.846153846153848,116.0,1.0,8.625,23.0,5.0,5.2,20.0,1.5,12.466666666666667,116,2.5,12.705882352941176,52.0,7.0
2009,38,16,0.4210526315789473,8,0.2105263157894736,1,16.0,62,10.0,13.285714285714286,31,11.0,17.875,51.0,10.0,9.875,39.0,3.0,20.571428571428573,60.0,19.0,14.8,62,10.0,17.875,51.0,10.0
2010,48,33,0.6875,3,0.0625,11,28.0,124,9.0,6.3,27,3.5,10.666666666666666,36.0,7.0,4.3,27.0,2.5,26.454545454545453,193.0,11.0,14.9375,193,4.0,,,
2011,42,20,0.4761904761904762,4,0.0952380952380952,5,21.77777777777778,77,14.0,14.22222222222222,39,7.0,23.857142857142858,40.0,23.0,12.142857142857142,34.0,4.0,4.0,11.0,3.0,12.82857142857143,77,6.0,23.857142857142858,40.0,23.0
2012,62,40,0.6451612903225806,6,0.0967741935483871,9,5.5625,30,1.0,1.4375,7,0.0,6.9,25.0,3.0,4.888888888888889,16.0,4.0,5.363636363636363,19.0,1.0,5.864864864864865,30,1.0,2.68,16.0,1.0
2013,48,29,0.6041666666666666,7,0.1458333333333333,5,24.428571428571427,103,7.0,26.4,154,8.5,5.166666666666667,18.0,3.5,17.0,31.0,17.0,3.8,14.0,3.5,9.344827586206897,103,4.0,21.94736842105263,154.0,14.0
2014,54,32,0.5925925925925926,5,0.0925925925925925,8,5.909090909090909,21,6.0,15.818181818181818,59,9.0,5.923076923076923,19.0,2.0,4.777777777777778,14.0,5.0,2.7,17.0,0.0,4.930232558139535,21,3.0,15.818181818181818,59.0,9.0
2015,45,28,0.6222222222222222,4,0.0888888888888888,9,5.363636363636363,39,0.0,5.714285714285714,17,5.0,3.125,9.0,1.5,7.727272727272727,28.0,6.0,5.75,15.0,5.0,5.666666666666667,39,3.0,,,
2016,31,15,0.4838709677419355,5,0.1612903225806451,4,6.857142857142857,25,3.0,14.25,25,14.0,5.2,11.0,3.0,4.0,6.0,4.5,3.111111111111111,9.0,3.0,5.903225806451613,25,3.0,,,
2017,36,22,0.6111111111111112,6,0.1666666666666666,4,6.428571428571429,21,6.0,2.333333333333333,5,2.5,3.857142857142857,13.0,4.0,3.25,8.0,2.0,2.375,5.0,2.5,4.454545454545454,21,3.0,2.357142857142857,5.0,2.5
2018,38,20,0.5263157894736842,8,0.2105263157894736,3,8.166666666666666,13,8.5,0.5,2,0.0,0.5555555555555556,2.0,0.0,0.4444444444444444,2.0,0.0,1.5,5.0,0.5,2.4782608695652173,13,1.0,0.9333333333333333,5.0,0.0
2019,38,11,0.2894736842105263,15,0.3947368421052631,0,3.25,7,3.0,1.5,3,2.0,5.333333333333333,14.0,3.5,13.333333333333334,28.0,9.0,4.0,8.0,3.0,4.142857142857143,14,3.0,6.666666666666667,28.0,3.0
2020,33,14,0.4242424242424242,9,0.2727272727272727,4,0.9,3,0.5,1.0,3,0.0,1.8333333333333333,4.0,1.5,0.3333333333333333,1.0,0.0,0.6666666666666666,2.0,0.5,0.9393939393939394,4,1.0,,,
2021,75,15,0.2,18,0.24,2,0.5,4,0.0,0.1666666666666666,1,0.0,,,,,,,,,,0.35714285714285715,4,0.0,3.0327868852459017,17.0,2.0
