number_volume,number_issue,year,page_start,page_end,website_issue
1,1,1999,1,131,https://www.tandfonline.com/toc/reus20/1/1?nav=tocList
1,2,1999,133,318,https://www.tandfonline.com/toc/reus20/1/2?nav=tocList
1,3,1999,319,499,https://www.tandfonline.com/toc/reus20/1/3?nav=tocList
2,1,2000,1,108,https://www.tandfonline.com/toc/reus20/2/1?nav=tocList
2,2,2000,113,238,https://www.tandfonline.com/toc/reus20/2/2?nav=tocList
2,3,2000,243,389,https://www.tandfonline.com/toc/reus20/2/3?nav=tocList
2,4,2000,397,563,https://www.tandfonline.com/toc/reus20/2/4?nav=tocList
3,1,2001,1,130,https://www.tandfonline.com/toc/reus20/3/1?nav=tocList
3,2,2001,135,256,https://www.tandfonline.com/toc/reus20/3/2?nav=tocList
3,3,2001,261,381,https://www.tandfonline.com/toc/reus20/3/3?nav=tocList
3,4,2001,387,538,https://www.tandfonline.com/toc/reus20/3/4?nav=tocList
4,1,2002,1,156,https://www.tandfonline.com/toc/reus20/4/1?nav=tocList
4,2,2002,161,260,https://www.tandfonline.com/toc/reus20/4/2?nav=tocList
4,3,2002,265,329,https://www.tandfonline.com/toc/reus20/4/3?nav=tocList
4,4,2002,331,424,https://www.tandfonline.com/toc/reus20/4/4?nav=tocList
5,1,2003,1,90,https://www.tandfonline.com/toc/reus20/5/1?nav=tocList
5,2,2003,93,231,https://www.tandfonline.com/toc/reus20/5/2?nav=tocList
5,3,2003,235,345,https://www.tandfonline.com/toc/reus20/5/3?nav=tocList
5,4,2003,349,463,https://www.tandfonline.com/toc/reus20/5/4?nav=tocList
6,1,2004,1,117,https://www.tandfonline.com/toc/reus20/6/1?nav=tocList
6,2,2004,119,260,https://www.tandfonline.com/toc/reus20/6/2?nav=tocList
6,3,2004,263,412,https://www.tandfonline.com/toc/reus20/6/3?nav=tocList
6,4,2004,421,534,https://www.tandfonline.com/toc/reus20/6/4?nav=tocList
7,1,2005,1,193,https://www.tandfonline.com/toc/reus20/7/1?nav=tocList
7,2,2005,195,375,https://www.tandfonline.com/toc/reus20/7/2?nav=tocList
7,3,2005,377,509,https://www.tandfonline.com/toc/reus20/7/3?nav=tocList
7,4,2005,511,613,https://www.tandfonline.com/toc/reus20/7/4?nav=tocList
8,1,2006,1,211,https://www.tandfonline.com/toc/reus20/8/1?nav=tocList
8,2,2006,215,355,https://www.tandfonline.com/toc/reus20/8/2?nav=tocList
8,3,2006,357,488,https://www.tandfonline.com/toc/reus20/8/3?nav=tocList
8,4,2006,491,624,https://www.tandfonline.com/toc/reus20/8/4?nav=tocList
9,1,2007,1,111,https://www.tandfonline.com/toc/reus20/9/1?nav=tocList
9,2,2007,115,312,https://www.tandfonline.com/toc/reus20/9/2?nav=tocList
9,3,2007,313,490,https://www.tandfonline.com/toc/reus20/9/3?nav=tocList
9,4,2007,491,678,https://www.tandfonline.com/toc/reus20/9/4?nav=tocList
9,5,2007,681,796,https://www.tandfonline.com/toc/reus20/9/5?nav=tocList
10,1,2008,1,140,https://www.tandfonline.com/toc/reus20/10/1?nav=tocList
10,2,2008,143,325,https://www.tandfonline.com/toc/reus20/10/2?nav=tocList
10,3,2008,325,523,https://www.tandfonline.com/toc/reus20/10/3?nav=tocList
10,4,2008,525,686,https://www.tandfonline.com/toc/reus20/10/4?nav=tocList
10,5,2008,687,867,https://www.tandfonline.com/toc/reus20/10/5?nav=tocList
11,1,2009,1,185,https://www.tandfonline.com/toc/reus20/11/1?nav=tocList
11,2,2009,187,313,https://www.tandfonline.com/toc/reus20/11/2?nav=tocList
11,3,2009,315,469,https://www.tandfonline.com/toc/reus20/11/3?nav=tocList
11,4,2009,471,624,https://www.tandfonline.com/toc/reus20/11/4?nav=tocList
11,5,2009,625,773,https://www.tandfonline.com/toc/reus20/11/5?nav=tocList
12,1,2010,1,136,https://www.tandfonline.com/toc/reus20/12/1?nav=tocList
12,2,2010,137,288,https://www.tandfonline.com/toc/reus20/12/2?nav=tocList
12,3,2010,289,448,https://www.tandfonline.com/toc/reus20/12/3?nav=tocList
12,4,2010,449,598,https://www.tandfonline.com/toc/reus20/12/4?nav=tocList
12,5,2010,599,ebi,https://www.tandfonline.com/toc/reus20/12/5?nav=tocList
13,1,2011,1,167,https://www.tandfonline.com/toc/reus20/13/1?nav=tocList
13,2,2011,169,329,https://www.tandfonline.com/toc/reus20/13/2?nav=tocList
13,3,2011,331,503,https://www.tandfonline.com/toc/reus20/13/3?nav=tocList
13,4,2011,505,635,https://www.tandfonline.com/toc/reus20/13/4?nav=tocList
13,5,2011,637,ebi,https://www.tandfonline.com/toc/reus20/13/5?nav=tocList
14,1,2012,1,159,https://www.tandfonline.com/toc/reus20/14/1?nav=tocList
14,2,2012,i,314,https://www.tandfonline.com/toc/reus20/14/2?nav=tocList
14,3,2012,315,469,https://www.tandfonline.com/toc/reus20/14/3?nav=tocList
14,4,2012,471,632,https://www.tandfonline.com/toc/reus20/14/4?nav=tocList
14,5,2012,633,ebi,https://www.tandfonline.com/toc/reus20/14/5?nav=tocList
15,1,2013,1,152,https://www.tandfonline.com/toc/reus20/15/1?nav=tocList
15,2,2013,153,308,https://www.tandfonline.com/toc/reus20/15/2?nav=tocList
15,3,2013,309,469,https://www.tandfonline.com/toc/reus20/15/3?nav=tocList
15,4,2013,471,635,https://www.tandfonline.com/toc/reus20/15/4?nav=tocList
15,5,2013,637,ebi,https://www.tandfonline.com/toc/reus20/15/5?nav=tocList
16,1,2014,1,163,https://www.tandfonline.com/toc/reus20/16/1?nav=tocList
16,2,2014,165,324,https://www.tandfonline.com/toc/reus20/16/2?nav=tocList
16,3,2014,325,475,https://www.tandfonline.com/toc/reus20/16/3?nav=tocList
16,4,2014,477,640,https://www.tandfonline.com/toc/reus20/16/4?nav=tocList
16,5,2014,641,ebi,https://www.tandfonline.com/toc/reus20/16/5?nav=tocList
17,1,2015,1,127,https://www.tandfonline.com/toc/reus20/17/1?nav=tocList
17,2,2015,129,278,https://www.tandfonline.com/toc/reus20/17/2?nav=tocList
17,3,2015,279,400,https://www.tandfonline.com/toc/reus20/17/3?nav=tocList
17,4,2015,401,616,https://www.tandfonline.com/toc/reus20/17/4?nav=tocList
17,5,2015,617,ebi,https://www.tandfonline.com/toc/reus20/17/5?nav=tocList
18,1,2016,1,116,https://www.tandfonline.com/toc/reus20/18/1?nav=tocList
18,2,2016,117,199,https://www.tandfonline.com/toc/reus20/18/2?nav=tocList
18,3,2016,201,290,https://www.tandfonline.com/toc/reus20/18/3?nav=tocList
18,4,2016,291,409,https://www.tandfonline.com/toc/reus20/18/4?nav=tocList
18,5,2016,417,ebi,https://www.tandfonline.com/toc/reus20/18/5?nav=tocList
19,1,2017,1,117,https://www.tandfonline.com/toc/reus20/19/1?nav=tocList
19,2,2017,119,221,https://www.tandfonline.com/toc/reus20/19/2?nav=tocList
19,3,2017,223,340,https://www.tandfonline.com/toc/reus20/19/3?nav=tocList
19,4,2017,341,516,https://www.tandfonline.com/toc/reus20/19/4?nav=tocList
19,5,2017,517,669,https://www.tandfonline.com/toc/reus20/19/5?nav=tocList
20,1,2018,1,156,https://www.tandfonline.com/toc/reus20/20/1?nav=tocList
20,2,2018,159,353,https://www.tandfonline.com/toc/reus20/20/2?nav=tocList
20,3,2018,357,548,https://www.tandfonline.com/toc/reus20/20/3?nav=tocList
20,4,2018,549,698,https://www.tandfonline.com/toc/reus20/20/4?nav=tocList
20,5,2018,699,834,https://www.tandfonline.com/toc/reus20/20/5?nav=tocList
21,1,2019,1,180,https://www.tandfonline.com/toc/reus20/21/1?nav=tocList
21,2,2019,181,325,https://www.tandfonline.com/toc/reus20/21/2?nav=tocList
21,3,2019,327,443,https://www.tandfonline.com/toc/reus20/21/3?nav=tocList
21,4,2019,445,626,https://www.tandfonline.com/toc/reus20/21/4?nav=tocList
21,5,2019,629,801,https://www.tandfonline.com/toc/reus20/21/5?nav=tocList
22,1,2020,1,156,https://www.tandfonline.com/toc/reus20/22/1?nav=tocList
22,2,2020,157,289,https://www.tandfonline.com/toc/reus20/22/2?nav=tocList
22,3,2020,291,410,https://www.tandfonline.com/toc/reus20/22/3?nav=tocList
22,4,2020,411,527,https://www.tandfonline.com/toc/reus20/22/4?nav=tocList
22,5,2020,529,681,https://www.tandfonline.com/toc/reus20/22/5?nav=tocList
23,1,2021,1,191,https://www.tandfonline.com/toc/reus20/23/1?nav=tocList
23,S1,2021,S1,S956,https://www.tandfonline.com/toc/reus20/23/sup1?nav=tocList
