number_volume,number_issue,number_article,type,link
1,1,1,introduction,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749922
1,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749923
1,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749924
1,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749925
1,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749926
1,1,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749927
1,1,7,book review,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749928
1,2,1,introduction,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749929
1,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749930
1,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749931
1,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749932
1,2,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749933
1,2,7,book review,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749935
1,3,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749936
1,3,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749937
1,3,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749938
1,3,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749939
1,3,5,book review,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749940
2,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360701
2,1,2,editorial,https://www.tandfonline.com/doi/abs/10.1080/146166900360693
2,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360710
2,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360729
2,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360738
2,1,6,book review,https://www.tandfonline.com/doi/abs/10.1080/146166900360747
2,2,1,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900412037
2,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900412046
2,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900412055
2,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900412064
