number_volume,number_issue,number_article,type,link
17,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.996972
17,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.934874
17,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968796
17,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968799
17,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968797
17,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.977323
17,1,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.859718
17,1,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.865065
17,1,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.928738
17,1,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.928739
17,1,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968800
