number_volume,number_issue,number_article,type,link
23,S1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1869284
23,S1,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1869283
23,S1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1793215
23,S1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1804973
23,S1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1807040
23,S1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1808692
23,S1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1809690
23,S1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1817522
23,S1,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818113
23,S1,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818270
23,S1,11,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818271
23,S1,12,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1821075
23,S1,13,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1821076
23,S1,14,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1821077
23,S1,15,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1822537
23,S1,16,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1822538
23,S1,17,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1823010
23,S1,18,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1823450
23,S1,19,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1824003
23,S1,20,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1824004
23,S1,21,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1825766
23,S1,22,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1825767
23,S1,23,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826554
23,S1,24,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826555
23,S1,25,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826556
23,S1,26,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826557
23,S1,27,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1827447
23,S1,28,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828974
23,S1,29,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828975
23,S1,30,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828976
23,S1,31,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828977
23,S1,32,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828978
23,S1,33,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828979
23,S1,34,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1830144
23,S1,35,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1831038
23,S1,36,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1831572
23,S1,37,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1832239
23,S1,38,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1832700
23,S1,39,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833065
23,S1,40,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833066
23,S1,41,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833067
23,S1,42,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833068
23,S1,43,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833229
23,S1,44,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833359
23,S1,45,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1834597
23,S1,46,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836383
23,S1,47,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836384
23,S1,48,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836385
23,S1,49,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836386
23,S1,50,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836387
23,S1,51,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836669
23,S1,52,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1839669
23,S1,53,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1839670
23,S1,54,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1841263
23,S1,55,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1841264
23,S1,56,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1846065
23,S1,57,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1846066
23,S1,58,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1852439
23,S1,59,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1852440
23,S1,60,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1857422
23,S1,61,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1839671
